Job Title,Company Name,Posted Date,Tech Stack
SENIOR FRONT-END DEVELOPER,Fibank,25 сеп.,"Babel, English, JavaScript, React, TypeScript, Vite, Webpack"
(Senior) Full Stack Developer with ABAP,SAP,25 сеп.,"English, GitHub, Go, Java, JavaScript, Jenkins, SAP ABAP"
Senior Software Developer,Dynamo Software Bulgaria,25 сеп.,"C#, CSS3, Git, HTML5, JavaScript, Jest, Microsoft SQL Server"
Senior React Developer,OpenTag,25 сеп.,"GitLab, GraphQL, JavaScript, React, TypeScript"
Senior Front-End Developer with Angular,EPAM,22 окт.,"Ajax, Angular, CSS3, HTML5, Ionic, JavaScript, LESS"
Senior Full-Stack Developer (Java/Angular),A1 Bulgaria,21 окт.,"Angular, English, Gradle, Hibernate, IntelliJ IDEA, Java, JavaScript"
Mid-Level Frontend Developer,DENSHI,21 окт.,"CSS3, HTML5, JavaScript, React, Redux"
Full Stack Developer,Methodia,21 окт.,"Bootstrap, English, Jakarta EE, Java, Java J2EE, JavaScript, Node.js"
Senior Frontend developer,Methodia,21 окт.,"Bootstrap, English, GraphQL, JavaScript, LESS, Node.js, React"
Frontend Engineer,Digital Ventures (Sportal365),20 окт.,"Babel, ECMAScript, Flux, GitHub, GitLab, JavaScript, Npm"
Senior Software Engineer,Payhawk,17 окт.,"Docker, Google Cloud, Kafka, Kubernetes, Node.js, PlantUML, PostgreSQL"
Software Development Trainee,Yettel,17 окт.,"Bulgarian, English, JavaScript, Linux/UNIX, Object-oriented programming, PHP"
Front-end Developer,Weply,17 окт.,"Angular, CSS3, English, Git, HTML5, JavaScript, TypeScript"
Frontend Team Lead,HRLabs,17 окт.,"Angular, JavaScript, React, Vue.js"
Senior React Native & React Developer,Payhawk,16 окт.,"React, React Native"
Software Engineer – Hive Diagnostics,Ocado Technology,16 окт.,"JavaScript, React"
FULLSTACK SOFTWARE ENGINEER WITH GOLANG FOR INTERNAL DEVELOPER PLATFORM m/f/d,Schwarz IT,16 окт.,"Azure, Docker, Git, Go, Google Cloud, JavaScript, Kubernetes"
Junior Full-Stack Developer,ZigiWave,16 окт.,"Docker, Java, React"
Senior Shopify Developer,"AIOPSGROUP, a valantic company",15 окт.,"CSS3, English, Figma, Git, GitHub, GraphQL, HTML5"
Senior Front-end Engineer,Betty Technology,15 окт.,"English, Next.js, React, Redux"
.NET Full-Stack Developer,Accedia,14 окт.,".NET, .NET Core, Angular, Azure, English, HTML5, JavaScript"
Front- End Developer ( Angular),Coherent Solutions,14 окт.,"Angular, CSS3, Git, HTML5, JavaScript, NgRX, RxJs"
Web Developer,Hlebarov.com,14 окт.,"Adobe, Adobe XD, Ajax, Figma, HTML5, JavaScript, JSON"
Junior Web Developer,cleversoft group,14 окт.,"English, JavaScript, jQuery, PHP"
Software Engineer Web Frontend (React),PHOENIX Pharma,14 окт.,"Bootstrap, English, Git, GitHub, GitLab, JUnit, PrimeNG"
Senior Software Engineer,Sirma,14 окт.,"Angular, ASP.NET, C#, English, Entity Framework, Hibernate, Java"
Frontend Developer,CleverPine,14 окт.,"English, JavaScript, LESS, Redux, Rollup, Sass, TypeScript"
Lead Software Developer – eJustice,Westernacher Solutions,13 окт.,"Angular, English, German, Hibernate, Oracle, Spring, TypeScript"
API Software Engineer – Mid/Senior,M2M Services,11 окт.,"Git, JavaScript, MariaDB, MySQL, SQL"
