Job Title,Company Name,Posted Date,Tech Stack
Senior Database Administrator,A1 Bulgaria,7 окт.,"English, Oracle, Oracle Data Guard, Perl, Red Hat, SQL, Unix"
Security Analyst,A1 Bulgaria,7 окт.,"Azure Sentinel, Cisco, SIEM, Splunk"
Penetration Tester,DataDots,7 окт.,"English, MITRE ATT&CK, OWASP"
Senior Technology Consultant Data Platform,Hewlett Packard Enterprise (HPE),7 окт.,"English, Hadoop, Jira, Linux, NoSQL, Oracle, PostgreSQL"
Senior Technology Consultant Monitoring,Hewlett Packard Enterprise (HPE),7 окт.,"Apache, English, ITIL, Jira, JSON, Linux, PHP"
Technology Consultant Security,Hewlett Packard Enterprise (HPE),7 окт.,"English, SIEM"
Senior Technology Consultant Security,Hewlett Packard Enterprise (HPE),7 окт.,"English, SIEM"
Senior Technology Consultant Data Platform,Hewlett Packard Enterprise (HPE),7 окт.,"English, Hadoop, Jira, Linux, NoSQL, Oracle, PostgreSQL"
Senior Cyber Security Engineer,A1 Bulgaria,7 окт.,"AWAF, Bash, Cisco, EDR, PowerShell, Python, SIEM"
Remote Desktop Service Expert (Citrix),A1 Bulgaria,7 окт.,"Citrix, English, Envoy, Hyper-V, Microsoft Technologies, PowerShell, VMware Horizon"
Endpoint Security Expert,A1 Bulgaria,7 окт.,"Azure Active Directory, DHCP, DNS, English, Intune, Microsoft Office 365, Microsoft Technologies"
ГЛАВЕН ЕКСПЕРТ БАЗИ ДАННИ – ORACLE отдел „Инфраструктура“ дирекция „ИТ”,Municipal Bank,7 окт.,"English, Linux, Microsoft SQL Server, Microsoft Windows Server, Oracle, Oracle Data Guard, SQL"
Cloud Site Reliability Engineer,DSK Bank,7 окт.,"Azure, English, Kubernetes, Microservices, RDBMS, Red Hat OpenShift"
Junior Software Engineer – SQL,Experian,7 окт.,"Bitbucket, English, Git, Jenkins, Microsoft SQL Server, MySQL, Oracle"
Cloud Applications Support Engineer,Endava,7 окт.,".NET, Apache, AWS, Azure, C#, IIS, Java"
Configuration Manager (CMDB),A1 Bulgaria,6 окт.,"English, Java, JavaScript, Linux, ServiceNow, SQL"
JetAdmin Specialist,Beetroot,5 окт.,"GitHub, JetAdmin, Supabase"
ServiceNow  Solution Architect/Consultant,Commerzbank Digital Technology Center,4 окт.,"Ansible, English, Git, Kafka, RDBMS, ServiceNow, Terraform"
Microsoft Configuration Manager Expert with SQL,A1 Bulgaria,4 окт.,"Azure, Graph API, Intune, Power BI, PowerShell, SQL, VBScript"
Security Engineer,Gamito,4 окт.,SIEM
Network Engineer,HedgeServ,4 окт.,"Ansible, AWS, Azure, Cisco, English, Palo Alto, TCP/IP"
Senior DevOps Engineer,Nexo,3 окт.,"AWS, AWS CloudFormation, Bash, Datadog, ELK stack, Flux, Groovy"
Unified Communication Еxpert,A1 Bulgaria,3 окт.,"Cisco, English, Java, Microsoft Windows Server, Python, VMware"
Database Administrator,Delasport,3 окт.,"Linux, NoSQL, SQL"
Senior DevOps Engineer,Delasport,3 окт.,"Ansible, Bash, Docker, English, Git, Google Cloud, Jenkins"
Experienced IT Auditor,People and Places,3 окт.,"Cisco, English"
DATAOPS ENGINEER,Talent Hunter,3 окт.,"Ansible, English, Git, InfluxDB, Jenkins, Linux, Microsoft SQL Server"
DevOps Engineer,neoshare,3 окт.,"AWS, Docker, English, GitLab, Grafana, Helm, Kafka"
Senior DevOps Engineer,Endava,2 окт.,"AWS, Bash, GitLab, Jenkins, Kubernetes, Python, Terraform"
Video Surveillance Engineer,A1 Bulgaria,2 окт.,"Avigilon, English"
Application Security Engineer(Product),Omnissa,2 окт.,OWASP
