Job Title,Company Name,Posted Date,Tech Stack
Desktop Administrator,A1 Bulgaria,3 окт.,"Android, iOS, ITIL, Microsoft Office 365, Microsoft Windows Server, PowerShell, VBScript"
NOC (Monitoring) Specialist,Delasport,3 окт.,"Grafana, Linux, Munin, Nagios"
IT Support Specialist with German,Autsorsa,3 окт.,"Confluence, English, German, Jira, Microsoft Office 365"
Video Surveillance Engineer,A1 Bulgaria,2 окт.,"Avigilon, English"
Technical Support Engineer – BPM,Tungsten Network,2 окт.,".NET, English, Fiddler, IIS, Microsoft SQL Server, Oracle, PL/SQL"
Technical Support Engineer with German/French/Spanish/Italian/Dutch,TTEC,2 окт.,"Dutch, English, French, German, Italian, Microsoft Office, Spanish"
Microsoft System Administrator (L2 Support),Infopulse Bulgaria,2 окт.,"English, Linux, Microsoft Office 365, Microsoft Windows Server, PowerShell"
Senior Desktop Support Admin,Nexo,2 окт.,"Linux, Mac OS, Microsoft Windows Server, Python"
Technical Support Engineer L3,A1 Bulgaria,1 окт.,"English, Linux"
Solution Specialist – Security,Akkodis Bulgaria,1 окт.,"Azure Sentinel, Microsoft Defender"
Cloud Support Engineer,Europe Cloud,1 окт.,"Apache, Bash, English, IIS, Linux, Nginx"
"IT Officer, IT Service Continuity",The World Bank Group – Sofia Shared Services Center,1 окт.,"AWS, Azure, Google Cloud, ITIL, Microsoft Office, Oracle, SAP"
(Junior) Technical Support Specialist,cleversoft group,1 окт.,"English, Microsoft Dynamics 365, Microsoft Office 365, Microsoft Power Platform"
Operational Services support Specialist,Ocado Technology,30 сеп.,"English, ITIL, OSI model"
Technical Support Specialist,Sellercloud,30 сеп.,English
Technical Support Analyst,flatexDEGIRO,30 сеп.,"Linux, Microsoft Office"
Cloud Integration Engineer,Tungsten Network,30 сеп.,"EDI, Object-oriented programming, SQL, XML"
HelpDesk/IT Support Engineer,Sciant (part of Sirma Group),29 сеп.,"Azure Active Directory, English, IIS, Linux/UNIX, Microsoft Office 365, SQL"
"TECHNICAL SUPPORT SPECIALIST, TIER 2",Телематик Интерактив България АД,27 сеп.,"English, JSON, Linux, TCP/IP"
Application Support Specialist,OfficeRnD,27 сеп.,"English, Postman, Zendesk"
Technical Support Specialist,WPX.net,27 сеп.,"English, Linux/UNIX, WordPress"
First Level Tech Support with German and English – PTE or FTE,Astrea Recruitment,26 сеп.,"Azure Active Directory, English, German"
Level 1 Technical Support Specialist,Paynetics,26 сеп.,English
Senior Mobile Voice Core Support Engineer,A1 Bulgaria,25 сеп.,"English, SOAP, TCP/IP"
Инженер “Наблюдение на мобилна мрежа”,A1 Bulgaria,25 сеп.,English
NETWORK SUPPORT ENGINEER,Talent Hunter,25 сеп.,English
TEAM LEAD IT USER SUPPORT AND SERVICES,Talent Hunter,25 сеп.,"Azure, DHCP, DNS, English, Hyper-V, ITIL, Microsoft Exchange"
"Senior Application Support Developer, Fixed Term Contract (1 Year)",Paysafe,25 сеп.,"ASP.NET, Bitbucket, English, Git, Java, jQuery, JSON"
Tech Consultant with German,Center Stars,24 сеп.,"English, German, Microsoft Office 365"
Technical Support Engineer,Tungsten Network,24 сеп.,"English, Fiddler, Wireshark"
Application Support Analyst,Man Group,24 сеп.,"Checkmk, Jira, Microsoft SQL Server, Nagios, Opsgenie, ServiceNow, SQL"
NOC Engineer,SolarEdge,24 сеп.,"English, Linux"
Technical Support Specialist with Slovenian,SolarEdge,24 сеп.,"English, Slovenian"
Inventory System Support Engineer (m/f/d),Infopulse Bulgaria,24 сеп.,"ELK stack, English, Linux, Nagios, Oracle, SQL"
